Type,Index,Description,Subject,Gold,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
MCQ,1,JEE Adv 2016 Paper 1,phy,B,C,C,B,B,B,B,B
MCQ,2,JEE Adv 2016 Paper 1,phy,D,C,C,D,D,C,D,D
MCQ(multiple),6,JEE Adv 2016 Paper 1,phy,ABD,BC,BC,AB,ABD,ABD,AD,AB
MCQ(multiple),8,JEE Adv 2016 Paper 1,phy,CD,BC,BC,BCD,CD,CD,CD,CD
MCQ(multiple),9,JEE Adv 2016 Paper 1,phy,AD,BCD,BC,ABD,C,CD,C,AC
MCQ(multiple),10,JEE Adv 2016 Paper 1,phy,BD,A,ABCD,ABD,ABCD,ABCD,B,BD
MCQ(multiple),12,JEE Adv 2016 Paper 1,phy,ABD,ABCD,ABD,ABC,ABD,ABD,ABCD,ABD
Integer,14,JEE Adv 2016 Paper 1,phy,9,None,5,5,17,17,9,6
Integer,15,JEE Adv 2016 Paper 1,phy,9,None,None,None,9,9,4.041,0
Integer,16,JEE Adv 2016 Paper 1,phy,6,4,3,10,1,0,0,0
Integer,17,JEE Adv 2016 Paper 1,phy,3,None,None,3,4,2,48,2
Integer,18,JEE Adv 2016 Paper 1,phy,8,None,None,None,4,4,12,8
MCQ,20,JEE Adv 2016 Paper 1,chem,C,B,B,C,C,C,B,C
MCQ,21,JEE Adv 2016 Paper 1,chem,B,A,C,A,A,A,A,A
MCQ,22,JEE Adv 2016 Paper 1,chem,B,A,A,A,A,A,A,A
MCQ,23,JEE Adv 2016 Paper 1,chem,A,D,D,D,D,D,D,D
MCQ(multiple),24,JEE Adv 2016 Paper 1,chem,BCD,ABD,BCD,BCD,BCD,BCD,BCD,BCD
MCQ(multiple),25,JEE Adv 2016 Paper 1,chem,BD,ABC,A,ABD,BD,BD,ABD,ABD
MCQ(multiple),26,JEE Adv 2016 Paper 1,chem,ACD,ABCD,A,ACD,ACD,ACD,ACD,ACD
MCQ(multiple),27,JEE Adv 2016 Paper 1,chem,BC,C,C,BC,C,BC,AD,BC
MCQ(multiple),28,JEE Adv 2016 Paper 1,chem,A,A,A,AC,A,A,AC,ACD
Integer,32,JEE Adv 2016 Paper 1,chem,9,None,9,2,201,201,1,1
Integer,33,JEE Adv 2016 Paper 1,chem,4,8,2,1,4,4,4,4
Integer,34,JEE Adv 2016 Paper 1,chem,6,8,40,40,20,20,20,40
MCQ,37,JEE Adv 2016 Paper 1,math,C,A,A,A,A,None,A,A
MCQ,38,JEE Adv 2016 Paper 1,math,A,D,A,A,A,A,A,A
MCQ,39,JEE Adv 2016 Paper 1,math,C,C,D,C,C,C,C,C
MCQ,40,JEE Adv 2016 Paper 1,math,C,C,A,None,C,C,None,C
MCQ,41,JEE Adv 2016 Paper 1,math,C,A,B,B,None,None,None,A
MCQ(multiple),42,JEE Adv 2016 Paper 1,math,BCD,ABCD,ACD,BCD,BC,BC,AC,ABC
MCQ(multiple),43,JEE Adv 2016 Paper 1,math,A,ABD,CD,C,AC,AC,ABCD,AC
MCQ(multiple),44,JEE Adv 2016 Paper 1,math,BC,A,BD,B,BC,BC,BC,ABC
MCQ(multiple),45,JEE Adv 2016 Paper 1,math,ACD,ABCD,ABC,None,ABCD,ABCD,ABCD,ABCD
MCQ(multiple),46,JEE Adv 2016 Paper 1,math,AD,ACD,BD,ACD,AC,None,C,ACD
MCQ(multiple),47,JEE Adv 2016 Paper 1,math,BC,D,A,None,BC,ABCD,A,None
MCQ(multiple),48,JEE Adv 2016 Paper 1,math,ABC,ABCD,BC,B,None,None,ABC,ABC
MCQ(multiple),49,JEE Adv 2016 Paper 1,math,AC,ACD,AC,None,AC,AC,BD,None
Integer,50,JEE Adv 2016 Paper 1,math,2,1,0,2,2,2,2,2
Integer,51,JEE Adv 2016 Paper 1,math,5,None,None,0,1,146,6800,1
Integer,52,JEE Adv 2016 Paper 1,math,1,4,1,0,0,2,0,0
Integer,53,JEE Adv 2016 Paper 1,math,7,None,None,6,12,12,36,0
Integer,54,JEE Adv 2016 Paper 1,math,1,0,9,0,1,1,2,0
MCQ,1,JEE Adv 2016 Paper 2,phy,C,B,B,B,B,B,B,B
MCQ,2,JEE Adv 2016 Paper 2,phy,C,C,C,C,C,C,C,C
MCQ,3,JEE Adv 2016 Paper 2,phy,C,A,B,C,B,B,C,C
MCQ,4,JEE Adv 2016 Paper 2,phy,A,D,A,C,C,C,C,C
MCQ(multiple),9,JEE Adv 2016 Paper 2,phy,ABD,AD,ACD,AD,AD,AD,ACD,ACD
MCQ(multiple),10,JEE Adv 2016 Paper 2,phy,BC,AD,BD,None,BC,C,B,CD
